Data Figure 1.17: Decomposition: Emission Reduction Contribution from PC1-SD to SC2-FD;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Planet Paper: Chanceletal2026Appendix_Emission_Output.xlsx Sheet D0;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;Emission Reduction Contribution by Factor;;;;;;;;% Contribution;;;;;;;;;;
;"Total 
Reduction";Labor Hours Reduction;Sectoral Change Contribution;Electricity Share Contribution;Electricity Mix Contribution;Primary Energy Mix Contribution;Emission Intensity Contribution;Energy Efficiency Gains;Agriculture & Land Use Contribution ;Labor Hours Reduction;Sectoral Change Contribution;Electricity Share Contribution;Electricity Mix Contribution;Primary Energy Mix Contribution;Emission Intensity Contribution;Energy Efficiency Gains;Agriculture & Land Use Contribution ;;;
2062;-88,1;-21,8;-6,3;-10,4;-13,9;-15,0;-6,5;-5,6;-8,6;25%;7%;12%;16%;17%;7%;6%;10%;;;
2063;-89,4;-22,3;-6,4;-10,5;-13,9;-15,3;-6,9;-5,6;-8,6;25%;7%;12%;16%;17%;8%;6%;10%;;;
2064;-90,8;-22,8;-6,5;-10,6;-13,9;-15,6;-7,2;-5,6;-8,7;25%;7%;12%;15%;17%;8%;6%;10%;;;
2065;-92,2;-23,2;-6,6;-10,7;-13,9;-15,9;-7,5;-5,6;-8,7;25%;7%;12%;15%;17%;8%;6%;9%;;;
2066;-93,6;-23,7;-6,8;-10,8;-13,8;-16,2;-7,9;-5,6;-8,8;25%;7%;12%;15%;17%;8%;6%;9%;;;
2067;-95,0;-24,2;-6,9;-10,9;-13,8;-16,5;-8,3;-5,6;-8,8;25%;7%;11%;15%;17%;9%;6%;9%;;;
2068;-96,5;-24,7;-7,1;-11,0;-13,8;-16,9;-8,7;-5,6;-8,9;26%;7%;11%;14%;17%;9%;6%;9%;;;
2069;-98,0;-25,3;-7,2;-11,1;-13,8;-17,2;-9,1;-5,6;-8,9;26%;7%;11%;14%;18%;9%;6%;9%;;;
2070;-99,3;-25,9;-7,4;-11,1;-13,7;-17,5;-9,5;-5,6;-8,6;26%;7%;11%;14%;18%;10%;6%;9%;;;
2071;-101,4;-26,5;-7,6;-11,2;-13,7;-17,9;-9,9;-5,6;-9,1;26%;7%;11%;13%;18%;10%;5%;9%;;;
2072;-103,0;-27,1;-7,7;-11,3;-13,6;-18,2;-10,4;-5,5;-9,1;26%;7%;11%;13%;18%;10%;5%;9%;;;
2073;-104,7;-27,7;-7,9;-11,4;-13,6;-18,6;-10,8;-5,5;-9,2;26%;8%;11%;13%;18%;10%;5%;9%;;;
2074;-106,3;-28,2;-8,0;-11,5;-13,6;-18,9;-11,3;-5,5;-9,2;27%;8%;11%;13%;18%;11%;5%;9%;;;
2075;-108,1;-28,8;-8,2;-11,6;-13,5;-19,3;-11,8;-5,5;-9,3;27%;8%;11%;13%;18%;11%;5%;9%;;;
2076;-109,8;-29,4;-8,3;-11,7;-13,5;-19,7;-12,3;-5,5;-9,3;27%;8%;11%;12%;18%;11%;5%;9%;;;
2077;-111,6;-30,1;-8,5;-11,8;-13,4;-20,1;-12,8;-5,5;-9,4;27%;8%;11%;12%;18%;12%;5%;8%;;;
2078;-113,4;-30,7;-8,7;-11,9;-13,4;-20,4;-13,4;-5,5;-9,4;27%;8%;11%;12%;18%;12%;5%;8%;;;
2079;-115,3;-31,4;-8,8;-12,0;-13,3;-20,8;-14,0;-5,4;-9,5;27%;8%;10%;12%;18%;12%;5%;8%;;;
2080;-117,2;-32,0;-9,0;-12,2;-13,2;-21,2;-14,6;-5,4;-9,5;27%;8%;10%;11%;18%;12%;5%;8%;;;
2081;-118,5;-32,3;-9,2;-12,1;-13,0;-21,4;-15,1;-5,3;-10,0;27%;8%;10%;11%;18%;13%;5%;8%;;;
2082;-119,3;-32,5;-9,3;-12,1;-12,8;-21,6;-15,6;-5,3;-10,1;27%;8%;10%;11%;18%;13%;4%;8%;;;
2083;-120,0;-32,7;-9,5;-12,0;-12,6;-21,8;-16,1;-5,2;-10,2;27%;8%;10%;11%;18%;13%;4%;8%;;;
2084;-120,8;-32,9;-9,6;-12,0;-12,4;-21,9;-16,6;-5,1;-10,3;27%;8%;10%;10%;18%;14%;4%;8%;;;
2085;-121,6;-33,1;-9,7;-12,0;-12,2;-22,1;-17,1;-5,0;-10,3;27%;8%;10%;10%;18%;14%;4%;8%;;;
2086;-122,3;-33,3;-9,9;-11,9;-12,0;-22,2;-17,7;-4,9;-10,4;27%;8%;10%;10%;18%;14%;4%;9%;;;
