Data Figure 2.13a and 2.14a (2/3): Data series on posttax net income shares (bottom 50% share);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDistribution.xlsx sheet I8b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;Core Social-Democratic Europe (DE-DK-FR-GB-NL-NO-SE);Core Western Europe (DE-FR-GB);Core Nordic Europe (DK-NL-NO-SE);World (population-weighted);Europe (Pop. weighted);North America/ Oceania (pop.weighted);Latin America (pop.weighted);Middle East/North Africa (pop.weighted);Subsaharan Africa (pop.weighted);Russia/ Central Asia (pop.weighted);East Asia (pop.weighted);South & South-East Asia (pop.weighted);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1936;9%;19%;18%;8%;11%;10%;28%;13%;15%;23%;24%;21%;19%;25%;22%;23%;24%;25%;22%;25%;18%;22%;18%;12%;17%;14%;9%;13%;12%;11%;12%;10%;12%;15%;10%;10%;10%;12%;10%;12%;12%;13%;13%;13%;13%;13%;12%;12%;12%;13%;28%;28%;17%;17%;16%;17%;17%;17%;17%;16%;16%;17%;17%;17%;17%;17%;23%;22%;24%;18%;23%;18%;11%;12%;12%;28%;17%;17%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1937;9%;19%;18%;8%;11%;10%;28%;13%;15%;23%;24%;21%;19%;25%;22%;23%;24%;25%;22%;25%;19%;22%;18%;13%;17%;14%;9%;13%;12%;11%;12%;10%;12%;15%;10%;10%;10%;12%;10%;12%;12%;13%;13%;13%;13%;13%;12%;12%;12%;13%;28%;28%;17%;18%;17%;17%;17%;17%;17%;16%;16%;17%;17%;17%;17%;17%;23%;22%;24%;18%;23%;19%;11%;12%;12%;28%;17%;17%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1938;8%;19%;18%;8%;11%;10%;27%;13%;15%;22%;24%;21%;19%;25%;22%;23%;24%;25%;22%;25%;19%;22%;18%;13%;17%;14%;9%;13%;12%;11%;12%;10%;12%;15%;10%;10%;10%;12%;10%;12%;12%;13%;13%;13%;13%;13%;12%;12%;12%;13%;28%;28%;18%;18%;17%;17%;17%;16%;17%;16%;16%;17%;17%;17%;17%;16%;23%;22%;24%;18%;23%;19%;11%;12%;12%;28%;18%;17%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1939;8%;19%;18%;8%;11%;10%;27%;13%;14%;22%;24%;21%;19%;25%;22%;23%;24%;26%;22%;25%;18%;22%;18%;14%;17%;14%;9%;13%;12%;11%;12%;10%;12%;15%;10%;10%;10%;12%;10%;12%;12%;13%;13%;13%;13%;13%;12%;12%;12%;13%;28%;27%;18%;18%;17%;18%;18%;16%;17%;16%;16%;16%;17%;16%;17%;16%;23%;22%;24%;18%;23%;18%;11%;12%;12%;27%;18%;17%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1940;8%;19%;18%;8%;11%;10%;27%;13%;14%;22%;25%;22%;19%;25%;22%;23%;24%;26%;22%;25%;18%;22%;18%;14%;17%;14%;9%;13%;12%;11%;12%;10%;12%;15%;10%;10%;10%;12%;10%;12%;12%;13%;13%;13%;13%;13%;12%;12%;12%;13%;27%;27%;18%;18%;17%;18%;18%;16%;17%;16%;16%;16%;16%;16%;16%;16%;24%;22%;25%;18%;23%;18%;11%;12%;12%;27%;18%;17%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1941;8%;19%;19%;8%;11%;10%;27%;13%;15%;22%;25%;22%;20%;25%;22%;24%;25%;26%;23%;25%;19%;22%;18%;14%;17%;14%;9%;14%;12%;11%;12%;10%;13%;15%;10%;10%;10%;12%;10%;12%;12%;13%;13%;13%;13%;13%;12%;12%;12%;13%;27%;27%;19%;19%;18%;18%;18%;17%;17%;16%;16%;17%;17%;17%;17%;17%;24%;22%;25%;19%;23%;19%;11%;12%;12%;27%;19%;17%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1942;8%;19%;20%;8%;11%;10%;27%;12%;15%;23%;25%;22%;20%;25%;22%;24%;25%;27%;23%;25%;21%;22%;18%;14%;17%;14%;9%;14%;12%;11%;12%;10%;13%;15%;10%;10%;10%;12%;10%;12%;12%;13%;13%;13%;13%;13%;12%;12%;12%;13%;27%;27%;20%;19%;18%;19%;19%;17%;18%;16%;17%;17%;17%;17%;17%;17%;24%;23%;25%;19%;23%;21%;11%;12%;12%;27%;19%;17%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1943;8%;19%;22%;8%;11%;10%;26%;12%;16%;23%;26%;22%;21%;25%;23%;24%;25%;27%;23%;25%;23%;23%;18%;14%;18%;14%;9%;14%;12%;11%;12%;10%;14%;15%;11%;10%;10%;12%;11%;12%;12%;13%;13%;13%;13%;13%;12%;12%;12%;13%;27%;27%;20%;20%;19%;19%;19%;17%;18%;16%;17%;17%;17%;17%;17%;17%;24%;23%;26%;19%;24%;22%;11%;12%;12%;27%;20%;18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1944;8%;17%;22%;8%;11%;10%;26%;14%;16%;23%;26%;22%;21%;25%;23%;25%;26%;27%;24%;25%;23%;23%;18%;14%;18%;14%;9%;14%;12%;11%;12%;11%;15%;15%;11%;11%;10%;12%;11%;12%;12%;13%;13%;13%;13%;13%;12%;12%;12%;13%;27%;26%;21%;20%;19%;20%;20%;18%;19%;16%;17%;18%;18%;18%;18%;17%;25%;23%;26%;20%;24%;23%;11%;12%;12%;27%;21%;18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1945;8%;17%;22%;9%;11%;10%;26%;17%;17%;24%;26%;22%;21%;25%;23%;25%;26%;28%;24%;25%;24%;24%;19%;14%;18%;14%;9%;14%;12%;11%;12%;11%;15%;15%;11%;11%;11%;12%;11%;12%;12%;12%;13%;13%;13%;13%;12%;12%;12%;13%;26%;26%;22%;21%;20%;20%;20%;18%;20%;16%;18%;18%;18%;18%;18%;18%;25%;24%;26%;20%;24%;23%;11%;12%;12%;26%;22%;19%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1946;9%;18%;22%;9%;11%;10%;26%;21%;17%;24%;27%;22%;22%;25%;23%;25%;26%;28%;24%;25%;23%;24%;19%;14%;19%;15%;9%;14%;12%;12%;12%;11%;16%;15%;11%;11%;11%;12%;11%;12%;12%;12%;13%;13%;13%;13%;12%;12%;12%;13%;26%;26%;23%;21%;20%;21%;21%;18%;20%;16%;18%;18%;18%;18%;18%;18%;25%;24%;27%;20%;24%;22%;11%;13%;12%;26%;22%;19%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1947;9%;19%;22%;8%;11%;10%;26%;21%;18%;24%;27%;22%;22%;26%;24%;26%;27%;29%;24%;25%;23%;24%;19%;14%;19%;15%;9%;14%;12%;12%;12%;11%;16%;15%;11%;11%;11%;12%;11%;12%;12%;12%;13%;13%;13%;13%;12%;12%;12%;13%;26%;26%;23%;22%;21%;21%;21%;18%;21%;16%;18%;19%;19%;19%;19%;18%;26%;24%;27%;21%;24%;23%;11%;13%;12%;26%;23%;19%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1948;9%;19%;21%;8%;12%;10%;26%;22%;18%;25%;28%;22%;23%;26%;24%;26%;27%;29%;25%;25%;22%;25%;19%;14%;19%;15%;9%;14%;12%;12%;12%;11%;17%;15%;11%;11%;11%;13%;11%;12%;12%;12%;13%;12%;13%;13%;12%;12%;12%;13%;26%;26%;24%;22%;21%;22%;22%;19%;21%;16%;19%;19%;19%;19%;19%;19%;26%;24%;27%;21%;25%;22%;11%;13%;12%;26%;24%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1949;9%;20%;22%;9%;12%;10%;25%;22%;19%;25%;28%;22%;23%;26%;24%;26%;28%;29%;25%;25%;22%;25%;19%;14%;20%;15%;9%;14%;12%;12%;12%;11%;17%;15%;12%;11%;11%;13%;12%;12%;12%;12%;13%;12%;13%;13%;12%;12%;12%;13%;26%;25%;25%;23%;22%;23%;23%;19%;22%;16%;19%;19%;19%;19%;19%;19%;26%;25%;28%;21%;25%;22%;11%;13%;12%;26%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1950;8%;20%;22%;9%;12%;10%;25%;21%;19%;26%;28%;22%;23%;26%;25%;27%;28%;30%;25%;26%;22%;26%;19%;14%;20%;15%;9%;14%;13%;12%;12%;11%;18%;15%;12%;12%;11%;13%;12%;12%;12%;12%;13%;12%;13%;13%;12%;12%;12%;12%;26%;25%;26%;24%;22%;23%;23%;19%;22%;16%;19%;19%;20%;19%;20%;19%;27%;25%;28%;22%;25%;22%;11%;13%;12%;25%;25%;21%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1951;9%;21%;22%;9%;12%;9%;25%;21%;19%;26%;28%;22%;23%;26%;25%;27%;28%;30%;25%;26%;23%;26%;19%;14%;20%;15%;9%;13%;13%;12%;12%;11%;18%;15%;12%;11%;11%;13%;12%;12%;12%;12%;13%;12%;13%;12%;12%;12%;13%;12%;26%;25%;26%;24%;22%;23%;23%;19%;22%;17%;19%;19%;19%;19%;19%;19%;27%;25%;28%;22%;25%;23%;12%;13%;12%;25%;25%;21%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1952;9%;21%;22%;10%;12%;9%;25%;21%;19%;26%;29%;22%;23%;26%;25%;27%;28%;30%;25%;26%;23%;26%;19%;14%;20%;15%;9%;13%;13%;12%;12%;11%;18%;15%;11%;11%;11%;13%;12%;12%;12%;12%;13%;12%;13%;12%;12%;12%;13%;12%;26%;25%;26%;24%;22%;23%;23%;19%;22%;17%;19%;19%;19%;19%;19%;19%;27%;25%;28%;22%;25%;23%;12%;13%;12%;25%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1953;9%;21%;23%;10%;12%;9%;25%;22%;19%;26%;29%;23%;23%;26%;25%;27%;28%;31%;25%;26%;23%;26%;19%;15%;20%;15%;9%;13%;13%;12%;13%;11%;17%;15%;11%;11%;11%;13%;11%;12%;12%;12%;12%;12%;12%;12%;12%;12%;13%;12%;26%;25%;26%;23%;22%;23%;23%;19%;22%;17%;19%;19%;19%;19%;19%;19%;27%;25%;29%;21%;25%;23%;12%;13%;12%;25%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1954;8%;22%;22%;10%;12%;9%;25%;21%;18%;26%;29%;23%;23%;26%;25%;27%;28%;31%;25%;26%;23%;26%;20%;15%;19%;15%;9%;12%;13%;12%;13%;11%;17%;15%;11%;11%;11%;13%;11%;12%;12%;12%;12%;12%;12%;12%;12%;11%;13%;12%;26%;25%;26%;23%;22%;23%;23%;19%;22%;17%;18%;19%;19%;19%;19%;19%;27%;25%;29%;21%;25%;23%;12%;13%;12%;26%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1955;8%;22%;22%;10%;11%;9%;25%;21%;19%;26%;29%;23%;23%;26%;25%;27%;29%;31%;26%;26%;23%;26%;20%;15%;19%;15%;9%;12%;13%;12%;13%;11%;17%;16%;11%;11%;11%;13%;11%;11%;12%;12%;12%;12%;12%;12%;11%;11%;13%;12%;26%;25%;26%;23%;22%;23%;23%;19%;22%;17%;18%;19%;19%;19%;19%;18%;27%;25%;29%;21%;25%;23%;12%;13%;12%;26%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1956;9%;22%;23%;9%;11%;9%;25%;21%;19%;27%;29%;23%;23%;27%;25%;27%;29%;31%;26%;26%;23%;26%;20%;15%;19%;15%;9%;11%;13%;12%;13%;11%;17%;16%;11%;11%;10%;13%;11%;11%;11%;12%;12%;12%;12%;12%;11%;11%;13%;12%;26%;25%;26%;23%;22%;23%;23%;18%;22%;17%;18%;18%;19%;18%;19%;18%;28%;25%;29%;21%;26%;23%;12%;13%;12%;26%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1957;8%;22%;23%;9%;11%;9%;25%;20%;19%;27%;29%;23%;23%;27%;25%;27%;29%;32%;26%;26%;23%;26%;20%;15%;19%;16%;9%;11%;13%;12%;13%;10%;17%;16%;11%;11%;10%;13%;11%;11%;11%;11%;12%;11%;12%;11%;11%;11%;13%;11%;26%;25%;26%;23%;22%;23%;23%;18%;22%;17%;18%;18%;18%;18%;18%;18%;28%;25%;29%;21%;26%;23%;12%;13%;12%;26%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1958;8%;22%;22%;9%;11%;9%;25%;20%;19%;27%;29%;23%;23%;27%;25%;28%;29%;32%;26%;26%;23%;26%;20%;16%;19%;16%;9%;11%;13%;12%;13%;10%;17%;16%;11%;10%;10%;13%;11%;11%;11%;11%;12%;11%;12%;11%;11%;11%;13%;11%;26%;25%;26%;23%;22%;23%;23%;18%;22%;17%;18%;18%;18%;18%;18%;18%;28%;26%;29%;21%;26%;23%;12%;13%;11%;26%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1959;8%;22%;22%;10%;11%;8%;25%;19%;18%;27%;29%;23%;23%;27%;25%;28%;29%;32%;26%;26%;23%;26%;21%;16%;19%;16%;9%;10%;13%;13%;13%;10%;17%;16%;10%;10%;10%;13%;11%;11%;11%;11%;12%;11%;12%;11%;11%;11%;13%;11%;26%;25%;26%;23%;22%;23%;23%;18%;22%;17%;17%;18%;18%;18%;18%;18%;28%;26%;30%;21%;26%;23%;12%;13%;11%;26%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960;7%;22%;23%;10%;11%;8%;25%;17%;18%;27%;30%;23%;23%;27%;25%;28%;29%;32%;26%;26%;24%;26%;21%;16%;18%;16%;9%;10%;13%;13%;13%;10%;16%;16%;10%;10%;10%;13%;10%;11%;11%;11%;11%;11%;11%;11%;11%;10%;13%;11%;26%;25%;26%;23%;22%;23%;23%;18%;22%;17%;17%;18%;18%;18%;18%;18%;28%;26%;30%;21%;26%;24%;12%;13%;11%;26%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1961;6%;22%;22%;10%;11%;8%;26%;14%;18%;28%;30%;23%;23%;27%;25%;28%;29%;32%;26%;26%;23%;26%;21%;16%;18%;16%;9%;10%;13%;13%;13%;10%;16%;17%;10%;10%;10%;13%;10%;11%;11%;11%;11%;11%;11%;11%;11%;10%;13%;11%;26%;26%;26%;23%;22%;23%;23%;17%;22%;17%;17%;18%;18%;18%;18%;17%;28%;26%;30%;21%;26%;23%;12%;13%;11%;26%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1962;6%;22%;22%;10%;11%;8%;26%;14%;18%;28%;30%;23%;23%;27%;26%;28%;29%;33%;26%;27%;22%;26%;21%;16%;18%;16%;9%;10%;13%;13%;13%;10%;16%;17%;10%;10%;10%;13%;10%;11%;11%;11%;11%;11%;11%;11%;11%;10%;13%;11%;27%;26%;26%;23%;21%;23%;23%;17%;22%;17%;17%;17%;18%;17%;17%;17%;28%;26%;30%;21%;26%;22%;12%;13%;11%;26%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1963;7%;22%;21%;10%;11%;8%;27%;14%;18%;28%;30%;23%;23%;27%;26%;28%;30%;33%;26%;27%;22%;26%;21%;16%;18%;16%;9%;10%;13%;13%;13%;10%;16%;17%;10%;10%;9%;13%;10%;10%;11%;11%;11%;11%;11%;11%;11%;10%;13%;11%;27%;27%;26%;23%;21%;23%;23%;17%;22%;17%;17%;17%;17%;17%;17%;17%;29%;26%;30%;21%;27%;22%;12%;12%;11%;27%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1964;7%;22%;21%;10%;11%;8%;27%;14%;19%;28%;30%;23%;24%;28%;27%;28%;30%;33%;26%;27%;21%;27%;21%;16%;18%;16%;9%;10%;13%;13%;13%;9%;16%;17%;10%;10%;9%;13%;10%;10%;11%;11%;11%;11%;11%;11%;10%;10%;13%;11%;28%;27%;26%;23%;21%;23%;23%;17%;22%;17%;17%;17%;17%;17%;17%;17%;29%;26%;30%;21%;27%;21%;12%;12%;11%;27%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965;7%;23%;21%;10%;11%;8%;27%;15%;18%;28%;31%;23%;24%;28%;27%;29%;30%;33%;26%;27%;22%;27%;21%;16%;18%;16%;9%;10%;13%;13%;13%;9%;16%;17%;10%;9%;9%;13%;10%;10%;11%;11%;11%;11%;11%;11%;10%;10%;13%;11%;28%;28%;26%;23%;21%;23%;23%;17%;22%;18%;16%;17%;17%;17%;17%;17%;29%;27%;31%;21%;27%;22%;12%;12%;11%;28%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;6%;23%;22%;10%;10%;8%;28%;14%;18%;29%;31%;23%;24%;28%;28%;29%;30%;33%;27%;28%;22%;27%;21%;17%;18%;16%;9%;10%;13%;13%;13%;9%;17%;17%;9%;9%;9%;13%;10%;10%;11%;11%;11%;11%;11%;11%;10%;10%;13%;11%;28%;28%;26%;23%;21%;23%;23%;17%;22%;18%;16%;17%;17%;17%;17%;17%;29%;27%;31%;21%;27%;22%;12%;12%;11%;28%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967;6%;23%;23%;10%;10%;8%;28%;13%;18%;29%;31%;23%;24%;28%;28%;29%;30%;33%;27%;28%;24%;27%;22%;17%;17%;16%;9%;10%;13%;13%;13%;9%;17%;17%;9%;9%;9%;13%;9%;10%;11%;11%;11%;11%;11%;11%;10%;10%;13%;11%;29%;28%;26%;23%;21%;23%;23%;16%;22%;18%;16%;17%;17%;17%;17%;16%;29%;27%;31%;21%;27%;24%;12%;12%;11%;29%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;6%;23%;23%;10%;10%;8%;29%;12%;18%;29%;31%;23%;25%;28%;28%;29%;30%;34%;27%;28%;24%;27%;22%;17%;17%;16%;9%;10%;13%;13%;13%;9%;17%;17%;9%;9%;9%;13%;9%;10%;11%;11%;11%;11%;11%;11%;10%;10%;13%;11%;29%;29%;26%;23%;21%;23%;23%;16%;22%;18%;16%;16%;17%;16%;16%;16%;29%;27%;31%;22%;28%;24%;12%;12%;11%;29%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;6%;23%;24%;10%;10%;8%;29%;12%;18%;29%;32%;23%;25%;28%;29%;29%;31%;34%;27%;29%;25%;27%;22%;17%;17%;16%;9%;10%;13%;12%;13%;9%;17%;17%;9%;9%;8%;13%;9%;10%;11%;11%;11%;11%;11%;11%;10%;10%;13%;11%;30%;29%;26%;23%;21%;23%;23%;16%;22%;18%;16%;16%;16%;16%;16%;16%;30%;27%;31%;22%;28%;25%;12%;12%;11%;29%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;6%;23%;25%;10%;9%;8%;29%;13%;18%;29%;32%;23%;25%;28%;29%;29%;31%;34%;27%;29%;26%;27%;22%;17%;17%;16%;9%;10%;13%;12%;13%;8%;17%;18%;9%;9%;8%;13%;9%;10%;11%;11%;11%;11%;11%;11%;10%;10%;13%;11%;30%;30%;26%;23%;21%;23%;23%;16%;22%;18%;16%;16%;16%;16%;16%;16%;30%;28%;31%;22%;28%;26%;12%;12%;11%;30%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971;6%;24%;24%;10%;9%;8%;29%;13%;18%;29%;32%;23%;25%;28%;30%;30%;31%;34%;27%;29%;25%;27%;22%;17%;16%;16%;9%;10%;13%;12%;13%;9%;17%;18%;9%;9%;9%;13%;9%;11%;11%;11%;11%;11%;12%;11%;10%;11%;13%;11%;30%;29%;26%;23%;22%;22%;22%;17%;23%;18%;15%;16%;16%;15%;16%;15%;30%;28%;32%;22%;28%;25%;12%;12%;11%;30%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972;6%;24%;24%;10%;9%;8%;29%;12%;18%;30%;33%;24%;26%;29%;30%;30%;32%;34%;27%;29%;25%;27%;22%;17%;16%;15%;9%;10%;12%;11%;12%;9%;17%;18%;10%;10%;9%;13%;9%;11%;11%;11%;11%;11%;12%;12%;10%;11%;14%;10%;30%;28%;26%;24%;22%;22%;21%;17%;23%;18%;15%;16%;16%;15%;16%;15%;30%;28%;32%;22%;28%;25%;11%;12%;11%;29%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;6%;24%;24%;10%;9%;8%;28%;12%;18%;30%;33%;24%;26%;29%;30%;31%;32%;35%;27%;29%;25%;27%;22%;18%;15%;14%;9%;10%;12%;11%;12%;9%;17%;19%;10%;11%;9%;13%;9%;11%;11%;11%;11%;11%;13%;12%;10%;12%;14%;10%;30%;27%;26%;24%;22%;22%;21%;18%;23%;18%;15%;17%;16%;14%;16%;14%;31%;28%;33%;21%;28%;25%;11%;13%;11%;29%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;6%;24%;25%;10%;7%;8%;28%;12%;18%;30%;34%;24%;26%;29%;30%;31%;33%;35%;26%;29%;26%;27%;22%;18%;14%;14%;9%;9%;11%;10%;12%;10%;17%;19%;11%;12%;10%;13%;8%;11%;11%;12%;10%;11%;14%;13%;11%;13%;15%;10%;30%;26%;26%;24%;23%;22%;20%;19%;23%;18%;15%;17%;16%;14%;16%;13%;31%;28%;33%;21%;28%;25%;11%;13%;11%;28%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;6%;25%;25%;9%;8%;8%;27%;12%;18%;30%;34%;24%;27%;29%;30%;32%;33%;35%;26%;29%;26%;27%;23%;18%;13%;13%;9%;9%;11%;10%;11%;10%;18%;19%;11%;12%;10%;13%;8%;12%;11%;12%;10%;11%;14%;13%;11%;13%;15%;9%;30%;25%;26%;24%;23%;22%;19%;19%;23%;18%;15%;17%;16%;13%;16%;13%;31%;29%;33%;21%;29%;25%;10%;13%;11%;28%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976;6%;25%;25%;9%;8%;8%;27%;11%;18%;30%;34%;24%;27%;29%;30%;32%;34%;35%;26%;29%;26%;27%;23%;18%;13%;13%;9%;9%;10%;9%;11%;10%;18%;19%;11%;13%;10%;13%;8%;12%;12%;12%;10%;10%;15%;14%;11%;14%;16%;9%;30%;24%;26%;24%;23%;22%;19%;20%;23%;18%;15%;17%;15%;12%;16%;12%;32%;29%;34%;21%;29%;26%;10%;13%;11%;28%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977;6%;26%;25%;9%;8%;8%;26%;12%;18%;30%;35%;24%;27%;29%;31%;33%;34%;35%;26%;29%;26%;27%;23%;18%;12%;12%;9%;9%;10%;9%;10%;11%;18%;20%;12%;14%;11%;13%;8%;12%;12%;12%;10%;10%;16%;14%;11%;15%;16%;9%;30%;24%;26%;24%;24%;22%;18%;20%;23%;18%;14%;18%;15%;12%;16%;12%;32%;29%;34%;21%;29%;25%;10%;13%;11%;27%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978;6%;26%;25%;9%;8%;8%;26%;12%;18%;30%;35%;24%;28%;30%;31%;33%;34%;36%;26%;29%;25%;27%;23%;19%;11%;12%;9%;9%;9%;8%;10%;11%;18%;20%;12%;15%;11%;13%;8%;13%;12%;13%;9%;10%;16%;15%;11%;15%;16%;9%;30%;23%;26%;24%;24%;22%;17%;21%;23%;18%;14%;18%;15%;11%;16%;11%;32%;29%;35%;21%;29%;25%;9%;14%;12%;27%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979;6%;26%;25%;8%;8%;8%;26%;12%;17%;31%;36%;24%;28%;30%;31%;34%;35%;36%;25%;29%;26%;27%;23%;19%;11%;11%;9%;9%;9%;8%;9%;11%;18%;20%;13%;15%;11%;13%;8%;13%;12%;13%;9%;10%;17%;15%;11%;16%;17%;8%;30%;22%;26%;24%;25%;21%;17%;22%;24%;18%;14%;18%;15%;11%;16%;10%;33%;30%;35%;21%;29%;25%;9%;14%;12%;26%;25%;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
