year,liabilities,equity
2017,38.565,158.476
2018,20.721,163.945
2019,25.571,162.982
2020,31.301,168.171
2021,38.448,180.876
2022,41.346,178.668
2023,41.7,185.782
2024,51.049,190.301
2025,76.698,204.171
