Data Figure 3.1: Data series on net foreign wealth across world regions (% of world GDP) (MER);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx sheet C3w;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America Oceania;Latin America;Middle East North Africa;Sub-Saharan Africa;Russia Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI
1970;-0,00%;2%;0%;-1%;-0%;-1%;-0%;0%;-1%;1%;-0%;-0%;0%;0%;0%;0%;-0%;0%;1%;-0%;2%;-1%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%
1971;-0,00%;2%;0%;-1%;-0%;-1%;-0%;1%;-1%;1%;-0%;-0%;0%;0%;0%;0%;-0%;0%;1%;-0%;1%;-1%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;0%;-0%;-0%;-0%;-0%;-0%;0%;1%;-0%;0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%
1972;-0,00%;2%;0%;-1%;0%;-1%;-0%;1%;-1%;0%;-0%;-0%;0%;0%;0%;0%;-0%;0%;1%;-0%;1%;-1%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;0%;-0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%
1973;0,00%;2%;0%;-1%;0%;-1%;-0%;0%;-0%;0%;-0%;0%;0%;0%;0%;0%;-0%;0%;1%;-0%;1%;-1%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%
1974;0,00%;2%;-0%;-1%;1%;-0%;-0%;-0%;-0%;1%;-0%;-0%;-0%;0%;-0%;0%;-0%;0%;1%;-0%;1%;-1%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;-0%;0%;-0%;0%;-0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%
1975;0,00%;1%;-0%;-1%;1%;-0%;-0%;0%;-1%;1%;-0%;-0%;-0%;0%;-0%;0%;-0%;0%;1%;-0%;1%;-1%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;-0%;0%;-0%;1%;-0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%
1976;-0,00%;1%;-0%;-1%;1%;-0%;-0%;0%;-1%;1%;-0%;-0%;0%;0%;-0%;0%;-0%;-0%;1%;-0%;1%;-1%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;-0%;0%;-0%;1%;-0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%
1977;0,00%;1%;-0%;-1%;1%;-1%;-0%;1%;-1%;1%;-0%;-0%;0%;0%;-0%;0%;-0%;-0%;1%;-0%;1%;-1%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;0%;-0%;1%;-0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%
1978;-0,00%;1%;-0%;-1%;1%;-1%;-0%;1%;-0%;1%;-0%;-0%;0%;0%;0%;0%;-0%;-0%;1%;-0%;1%;-1%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;0%;-0%;1%;-0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%
1979;-0,00%;1%;-0%;-1%;1%;-1%;-0%;0%;-0%;1%;-0%;-0%;0%;0%;0%;0%;-0%;-0%;1%;-0%;1%;-1%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;0%;-0%;1%;-0%;1%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%;-0%;-0%;-0%;-0%;-0%;0%;0%;-0%;0%;0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;-0%;0%
