Data Figure 2.15b: Data series on regional composition of personal wealth (World Top 0.001%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDistribution.xlsx sheet K6g;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;4,3%;1,0%;1,7%;0,3%;0,3%;0,0%;0,2%;0,3%;0,4%;0,5%;0,0%;0,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;0,0%;;0,1%;0,0%;0,1%;;;;;;;;;;;;0,2%;;;0,3%;;0,0%;0,0%;;0,3%;;;;;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;4,1%;1,0%;1,5%;0,3%;0,3%;0,0%;0,2%;0,3%;0,5%;0,5%;0,0%;0,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;0,0%;;0,1%;0,0%;0,1%;;;;;;;;;;;;0,2%;;;0,3%;;0,0%;0,0%;;0,4%;;;;0,0%;0,0%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;4,1%;1,0%;1,4%;0,3%;0,3%;0,0%;0,3%;0,3%;0,5%;0,5%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;1,3%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;0,0%;;0,1%;0,0%;0,1%;;;;;;;;;;;;0,3%;;;0,2%;;0,0%;0,0%;;0,4%;;;;;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;4,3%;1,0%;1,5%;0,3%;0,3%;0,0%;0,3%;0,3%;0,6%;0,5%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;0,0%;;0,1%;0,0%;0,1%;;;;;;;;;;;;0,3%;;;0,2%;0,0%;0,1%;0,0%;;0,5%;;;;;0,0%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;4,3%;1,0%;1,6%;0,3%;0,3%;0,0%;0,3%;0,3%;0,6%;0,5%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;0,0%;;0,1%;0,0%;0,1%;;;;;;;;;;;;0,3%;;;0,2%;0,0%;0,0%;0,0%;;0,5%;;;;;0,0%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;4,5%;1,0%;1,5%;0,3%;0,3%;0,0%;0,4%;0,3%;0,8%;0,5%;0,0%;0,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;0,0%;;0,1%;0,0%;0,1%;;;;;;;;;;;;0,4%;;;0,2%;0,0%;0,0%;0,0%;;0,7%;;;;;0,0%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;4,9%;1,0%;1,4%;0,3%;0,2%;0,0%;0,4%;0,6%;1,0%;0,5%;0,0%;0,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,3%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;0,0%;;0,1%;0,0%;0,1%;;;;;;;;;;;;0,4%;;0,3%;0,2%;0,0%;0,1%;0,0%;;0,9%;;;;;0,0%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;4,7%;1,0%;1,5%;0,3%;0,3%;0,0%;0,5%;0,5%;0,7%;0,5%;0,0%;0,1%;0,1%;0,1%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,3%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;0,0%;;;0,1%;0,0%;0,1%;;;;;;;;;;;;0,4%;0,0%;0,2%;0,2%;0,0%;0,1%;0,0%;;0,6%;;;;;0,0%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;4,0%;0,8%;1,2%;0,3%;0,2%;0,0%;0,3%;0,7%;0,5%;0,4%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;1,1%;0,1%;0,0%;0,0%;;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;;;0,1%;0,0%;0,1%;;;;;;;;;;;;0,3%;;0,4%;0,2%;0,0%;0,0%;0,0%;;0,4%;;;;;0,0%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;4,7%;0,8%;1,2%;0,3%;0,2%;0,0%;0,4%;0,9%;0,8%;0,4%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;1,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;0,0%;;0,1%;0,0%;0,1%;;;;;;;;;;0,0%;;0,4%;;0,6%;0,1%;0,0%;0,1%;0,0%;;0,7%;;;;;0,0%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;5,1%;0,8%;1,3%;0,3%;0,2%;0,0%;0,5%;1,0%;1,0%;0,4%;0,0%;0,1%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;1,1%;0,1%;0,0%;0,0%;;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;;;0,1%;0,0%;0,1%;;;;;;;;;;0,0%;;0,4%;0,0%;0,7%;0,1%;0,0%;0,1%;0,0%;;0,8%;;;;;0,0%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;4,9%;0,8%;1,4%;0,3%;0,2%;0,1%;0,4%;0,9%;0,8%;0,3%;0,0%;0,1%;0,1%;0,1%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,3%;0,1%;0,0%;0,0%;;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;;0,0%;0,1%;0,0%;0,1%;;;;;;;;;;0,1%;;0,4%;0,0%;0,6%;0,1%;0,0%;0,1%;0,0%;;0,7%;;;;;0,0%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;5,2%;0,9%;1,4%;0,4%;0,2%;0,0%;0,5%;0,9%;0,9%;0,3%;0,0%;0,1%;0,1%;0,1%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,3%;0,1%;0,0%;0,0%;;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;;0,0%;0,1%;0,0%;0,1%;;;;;;;;;;0,0%;;0,4%;0,0%;0,6%;0,1%;0,0%;0,1%;0,0%;;0,7%;;;;0,0%;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;5,4%;1,0%;1,5%;0,3%;0,2%;0,0%;0,5%;1,0%;0,9%;0,3%;0,0%;0,1%;0,1%;0,1%;0,3%;0,0%;0,0%;0,0%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;;;0,1%;0,0%;0,1%;;;;;;;;;;0,0%;;0,5%;0,0%;0,7%;0,1%;0,0%;0,1%;0,0%;;0,7%;;;;0,0%;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;6,0%;0,8%;1,5%;0,3%;0,2%;0,0%;0,6%;1,3%;1,2%;0,3%;0,0%;0,1%;0,1%;0,1%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;;;;0,1%;0,0%;0,1%;;;;;;;;;;0,0%;;0,5%;0,0%;1,0%;0,1%;0,0%;0,1%;0,1%;;1,0%;;;;0,0%;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;5,7%;0,8%;1,5%;0,3%;0,2%;0,0%;0,4%;1,3%;1,1%;0,3%;0,0%;0,1%;0,1%;0,1%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,3%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;;;;0,1%;0,0%;0,1%;;;;;;;;;;0,0%;;0,4%;0,0%;1,1%;0,1%;0,0%;0,1%;0,1%;;0,9%;;;;0,0%;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;5,9%;0,8%;1,5%;0,3%;0,2%;0,0%;0,4%;1,4%;1,3%;0,2%;0,0%;0,1%;0,1%;0,1%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;;;0,1%;0,1%;0,1%;;;;;;;;;;0,0%;;0,4%;0,0%;1,1%;0,1%;0,0%;0,1%;0,0%;;1,1%;;;;0,0%;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;6,0%;0,9%;1,4%;0,3%;0,2%;0,0%;0,4%;1,4%;1,3%;0,2%;0,0%;0,1%;0,1%;0,1%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,3%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;;;0,1%;0,1%;0,1%;;;;;;;;;;0,0%;;0,4%;0,0%;1,2%;0,1%;0,0%;0,1%;0,0%;;1,0%;;;;0,0%;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;5,8%;0,8%;1,4%;0,3%;0,2%;0,0%;0,4%;1,5%;1,2%;0,2%;0,0%;0,1%;0,1%;0,1%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;;;0,1%;0,1%;0,1%;;;;;;;;;;0,0%;;0,4%;0,0%;1,2%;0,1%;0,0%;0,1%;0,0%;;1,0%;;;;0,0%;0,1%;0,0%;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;5,7%;0,7%;1,5%;0,3%;0,2%;0,0%;0,5%;1,5%;1,0%;0,2%;0,0%;0,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;;;0,1%;0,1%;0,1%;;;;;;;;;;0,0%;;0,4%;0,0%;1,3%;0,1%;0,0%;0,1%;0,0%;;0,8%;;;;0,0%;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;6,4%;0,8%;1,8%;0,3%;0,2%;0,0%;0,5%;1,7%;1,2%;0,2%;0,0%;0,1%;0,1%;0,1%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;;0,1%;0,0%;0,0%;0,1%;0,1%;0,0%;;;;;0,1%;0,0%;0,1%;;;;;;;;;;0,0%;;0,4%;0,0%;1,4%;0,1%;0,0%;0,1%;0,1%;;1,0%;;;;0,0%;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;6,2%;0,8%;1,6%;0,3%;0,2%;0,0%;0,4%;1,6%;1,3%;0,2%;0,0%;0,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;0,0%;0,0%;;;;;0,1%;0,1%;0,1%;;;;;;;;;;0,0%;;0,4%;0,0%;1,3%;0,1%;0,0%;0,1%;0,0%;;1,1%;;;;0,0%;0,1%;0,0%;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;6,3%;0,7%;1,5%;0,2%;0,2%;0,0%;0,4%;1,7%;1,4%;0,2%;0,0%;0,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,3%;0,1%;0,0%;0,0%;0,0%;;0,1%;0,0%;0,0%;0,1%;;0,0%;;0,0%;;;0,1%;0,1%;0,1%;;;;;;;;;;0,0%;;0,4%;0,0%;1,4%;0,1%;0,0%;0,1%;0,1%;;1,2%;0,1%;;;0,0%;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;6,4%;0,7%;1,4%;0,2%;0,2%;0,0%;0,4%;1,7%;1,5%;0,2%;0,0%;0,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,3%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;;0,0%;;0,0%;;;0,1%;0,1%;0,1%;;;;;;;;;;0,0%;;0,4%;0,0%;1,5%;0,1%;0,0%;0,1%;0,0%;;1,2%;0,1%;;;0,0%;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;6,4%;0,7%;1,3%;0,2%;0,2%;0,0%;0,4%;1,9%;1,5%;0,2%;0,0%;0,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;;0,0%;;0,0%;;;0,1%;0,1%;0,1%;;;;;;;;;;0,0%;;0,4%;0,0%;1,6%;0,1%;0,0%;0,1%;0,0%;;1,2%;0,1%;;;0,0%;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;6,4%;0,7%;1,3%;0,2%;0,2%;0,0%;0,4%;1,9%;1,6%;0,2%;0,0%;0,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;;0,0%;;0,0%;;;0,0%;0,1%;0,1%;;;;;;;;;;0,0%;;0,4%;0,0%;1,6%;0,1%;0,0%;0,1%;0,0%;;1,3%;0,1%;;;0,0%;0,1%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;5,1%;0,6%;1,1%;0,2%;0,2%;0,0%;0,3%;1,5%;1,3%;0,1%;0,0%;0,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;1,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,1%;;0,0%;;0,0%;;;0,0%;0,1%;0,1%;;;;;;;;;;0,0%;;0,3%;0,0%;1,3%;0,1%;0,0%;0,1%;0,0%;;1,0%;0,1%;;;0,0%;0,0%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;4,1%;0,5%;0,8%;0,1%;0,1%;0,0%;0,3%;1,2%;1,0%;0,1%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;0,8%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;;0,0%;;0,0%;;;0,0%;0,0%;0,0%;;;;;;;;;;0,0%;;0,2%;0,0%;1,0%;0,1%;0,0%;0,1%;0,0%;;0,8%;0,1%;;;0,0%;0,0%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;3,3%;0,4%;0,7%;0,1%;0,1%;0,0%;0,2%;0,9%;0,8%;0,1%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,6%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;;0,0%;;0,0%;;;0,0%;0,0%;0,0%;;;;;;;;;;0,0%;;0,2%;0,0%;0,8%;0,0%;0,0%;0,0%;0,0%;;0,7%;0,1%;;;0,0%;0,0%;;0,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;2,6%;0,3%;0,5%;0,1%;0,1%;0,0%;0,2%;0,7%;0,7%;0,1%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;0,0%;;0,0%;;;0,0%;0,0%;0,0%;;;;;;;;;;0,0%;;0,2%;0,0%;0,6%;0,0%;0,0%;0,0%;0,0%;;0,6%;0,0%;;;0,0%;0,0%;;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;2,2%;0,2%;0,4%;0,1%;0,1%;0,0%;0,1%;0,6%;0,6%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,4%;0,0%;0,0%;0,0%;0,0%;;0,0%;0,0%;0,0%;0,0%;;0,0%;;0,0%;;;0,0%;0,0%;0,0%;;;;;;;;;;0,0%;;0,1%;0,0%;0,5%;0,0%;0,0%;0,0%;0,0%;;0,5%;0,0%;;;0,0%;0,0%;;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;1,8%;0,2%;0,4%;0,1%;0,1%;0,0%;0,1%;0,5%;0,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,0%;0,0%;0,0%;0,0%;;0,0%;0,0%;0,0%;0,0%;;0,0%;;0,0%;;;0,0%;0,0%;0,0%;;;;;;;;;;0,0%;;0,1%;0,0%;0,4%;0,0%;0,0%;0,0%;0,0%;;0,4%;0,0%;;;0,0%;0,0%;;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;1,5%;0,2%;0,3%;0,1%;0,1%;0,0%;0,1%;0,4%;0,4%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,0%;0,0%;0,0%;0,0%;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;0,0%;;;0,0%;0,0%;0,0%;;;;;;;;;;0,0%;;0,1%;0,0%;0,3%;0,0%;0,0%;0,0%;0,0%;;0,3%;0,0%;;;0,0%;0,0%;;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;1,2%;0,1%;0,2%;0,1%;0,1%;0,0%;0,1%;0,3%;0,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;0,0%;;;0,0%;0,0%;0,0%;;;;;;;;;;0,0%;;0,1%;0,0%;0,3%;0,0%;0,0%;0,0%;0,0%;;0,3%;0,0%;;;0,0%;0,0%;;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;1,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,1%;0,3%;0,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;0,0%;;;0,0%;0,0%;0,0%;;;;;;;;;;0,0%;;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;;0,2%;0,0%;;;0,0%;0,0%;;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;0,9%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,2%;0,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;0,0%;;;0,0%;0,0%;0,0%;;;;;;;0,0%;;;0,0%;;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;;0,2%;0,0%;;;0,0%;0,0%;;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;0,7%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,2%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;0,0%;;;0,0%;0,0%;0,0%;;;;;;;0,0%;;;0,0%;;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;;0,2%;0,0%;;;0,0%;0,0%;;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;0,6%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;0,0%;0,0%;0,0%;;;;;;;0,0%;;;0,0%;;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;0,1%;0,0%;;;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;0,5%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;0,0%;0,0%;0,0%;;;;;;;0,0%;;;0,0%;;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;0,1%;0,0%;;;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;0,5%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;;0,0%;0,0%;0,0%;;;;;;;0,0%;;;0,0%;;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;0,1%;0,0%;;;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
