Data Figure 2.6: Data series on average health expenditures (public + private) per capital (2025 Euro PPP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx Sheet G3c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/ North Africa;Sub-Saharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;
1985;464;1 461;2 657;558;291;84;376;159;73;2 577;2 917;721;1 878;1 051;2 223;1 425;2 129;2 048;1 724;494;2 800;2 500;1 937;870;180;981;846;394;444;478;244;1 198;278;204;308;82;1 744;110;368;14;175;8;75;36;49;21;8;47;580;62;435;304;21;1 300;250;222;267;12;66;82;69;62;113;131;60;162;
1986;470;1 436;2 782;615;290;83;386;160;69;2 588;2 942;819;1 870;1 091;1 856;1 438;2 451;1 899;1 741;497;2 940;2 597;1 963;872;189;1 107;985;379;465;473;238;1 111;292;189;214;86;2 114;147;363;18;176;8;73;45;47;22;9;54;580;56;449;310;22;1 316;246;215;273;7;61;76;60;64;119;134;59;164;
1987;477;1 486;2 873;599;275;82;397;164;69;2 684;2 986;869;1 906;1 172;1 924;1 496;2 607;1 984;1 790;502;3 048;2 642;1 930;983;183;1 144;923;346;460;463;257;971;269;185;181;84;1 779;163;340;18;166;9;81;42;42;18;8;55;580;54;463;319;21;1 377;247;247;294;14;64;64;41;64;116;132;59;160;
1988;492;1 561;3 039;563;303;75;421;167;70;2 816;3 020;937;1 962;1 235;2 186;1 482;2 663;2 015;1 826;511;3 238;2 727;1 987;1 092;176;1 031;856;354;466;437;262;1 111;278;198;219;87;2 221;180;339;14;159;8;77;42;41;27;8;48;487;52;494;334;20;1 407;282;294;310;14;66;71;34;63;115;131;60;154;
1989;504;1 576;3 202;581;288;84;455;171;72;2 701;2 997;1 072;1 991;1 236;2 245;1 575;2 610;2 161;1 869;516;3 419;2 834;2 058;1 127;198;898;918;378;487;457;264;1 008;254;199;211;93;1 991;196;297;15;166;8;79;46;38;26;8;51;596;52;532;364;20;1 428;363;328;321;14;67;77;34;61;127;140;61;157;
1990;534;1 651;3 411;608;291;85;521;176;95;2 780;2 995;1 139;2 073;1 269;2 390;1 665;2 995;2 147;1 963;545;3 656;2 944;2 140;1 201;189;924;981;377;482;487;260;969;215;191;192;96;2 087;226;303;12;151;8;66;41;33;33;7;57;572;53;624;400;21;1 470;412;371;329;14;103;94;49;62;126;157;63;160;
1991;533;1 665;3 557;579;301;82;466;183;77;2 560;2 961;1 229;2 146;1 363;2 511;1 756;3 209;2 041;2 110;511;3 812;3 089;2 224;1 250;198;1 021;852;462;502;512;257;886;241;202;200;99;2 240;255;274;8;135;6;54;53;32;30;7;93;540;53;537;385;23;1 523;442;407;329;14;65;101;47;64;124;180;62;173;
1992;546;1 711;3 727;562;330;82;405;193;80;2 628;2 945;1 290;2 221;1 449;2 498;1 881;3 446;2 100;2 198;493;4 008;3 173;2 272;1 249;192;1 139;780;530;511;505;257;837;237;204;229;97;2 551;261;309;3;123;7;55;50;31;24;7;104;580;49;457;347;26;1 591;473;481;339;15;66;107;44;65;125;216;70;187;
1993;560;1 701;3 869;630;339;81;467;201;81;2 418;2 994;1 514;2 299;1 491;2 408;1 898;3 454;2 097;2 236;475;4 172;3 204;2 376;1 222;202;1 350;911;605;536;527;263;956;281;214;255;109;2 373;272;315;1;96;8;46;50;26;45;6;56;568;49;599;322;30;1 658;484;507;350;19;70;108;32;66;108;213;77;174;
1994;572;1 743;3 946;691;335;81;439;211;85;2 505;3 044;1 539;2 348;1 583;2 397;1 881;3 601;2 031;2 292;495;4 264;3 156;2 480;1 265;188;1 498;984;662;624;564;288;1 019;259;217;284;117;2 136;245;334;1;99;11;46;46;26;32;2;31;617;47;592;270;32;1 734;491;545;343;22;69;124;32;72;104;251;82;166;
