Data Figure 1.15: Total World GDP and GNE (Trillions Euros PPP 2025);;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Planet Paper: Chanceletal2026Appendix_MacroScenarios.xlsx Sheet R0;;;;;;;;;;;;;;;;;;;;;;;
;Gross Domestic Product;;;;;Gross National Expenditure;;;;;;Share of material sectors in GNE;;;;Share of manufacturing in GNE;;;;Share of energy in GNE;;;
Year;PI2;PC1;SC2;PC1/PI2;SC2/PI2;PI2;PC1;SC2;PI2/PI2;PC1/PI2;SC2/PI2;PI2;PC1;SC2;SC2/PI2;PI2;PC1;SC2;SC2/PI2;PI2;PC1;SC2;SC2/PI2
2011;91,2;91,2;91,2;100;100;90,7;90,7;90,7;100;100;100;52%;52%;52%;100;15%;15%;15%;100;4%;4%;4%;100
2012;94,0;94,0;94,0;100;100;93,4;93,4;93,4;100;100;100;52%;52%;52%;100;15%;15%;15%;100;4%;4%;4%;100
2013;97,1;97,1;97,1;100;100;96,3;96,3;96,3;100;100;100;53%;53%;53%;100;15%;15%;15%;100;3%;3%;3%;100
2014;100,3;100,3;100,3;100;100;99,4;99,4;99,4;100;100;100;52%;52%;52%;100;15%;15%;15%;100;3%;3%;3%;100
2015;103,6;103,6;103,6;100;100;103,3;103,3;103,3;100;100;100;52%;52%;52%;100;15%;15%;15%;100;4%;4%;4%;100
2016;106,7;106,7;106,7;100;100;106,1;106,1;106,1;100;100;100;52%;52%;52%;100;15%;15%;15%;100;3%;3%;3%;100
2017;110,8;110,8;110,8;100;100;110,1;110,1;110,1;100;100;100;53%;53%;53%;100;15%;15%;15%;100;3%;3%;3%;100
2018;114,8;114,8;114,8;100;100;114,0;114,0;114,0;100;100;100;53%;53%;53%;100;15%;15%;15%;100;3%;3%;3%;100
2019;118,1;118,1;118,1;100;100;117,3;117,3;117,3;100;100;100;52%;52%;52%;100;15%;15%;15%;100;3%;3%;3%;100
2020;115,0;115,0;115,0;100;100;114,4;114,4;114,4;100;100;100;52%;52%;52%;100;15%;15%;15%;100;3%;3%;3%;100
2021;122,0;122,0;122,0;100;100;121,5;121,5;121,5;100;100;100;52%;52%;52%;100;15%;15%;15%;100;3%;3%;3%;100
2022;126,0;126,0;126,0;100;100;125,7;125,7;125,7;100;100;100;52%;52%;52%;100;15%;15%;15%;100;3%;3%;3%;100
2023;130,2;130,2;130,2;100;100;129,9;129,9;129,9;100;100;100;52%;52%;52%;100;15%;15%;15%;100;3%;3%;3%;100
