Data Figure 2.15a: Data series on regional composition of  personal wealth  (World Bottom 50%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDistribution.xlsx sheet K6b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1800;5,4%;0,7%;0,1%;0,1%;0,2%;0,5%;0,2%;2,3%;1,3%;0,1%;0,0%;0,1%;0,2%;0,1%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,3%;0,1%;0,1%;2,1%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1801;5,4%;0,7%;0,1%;0,1%;0,2%;0,5%;0,2%;2,3%;1,3%;0,1%;0,0%;0,1%;0,2%;0,1%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;2,1%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1802;5,4%;0,6%;0,1%;0,1%;0,2%;0,5%;0,2%;2,3%;1,4%;0,1%;0,0%;0,1%;0,2%;0,1%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;2,1%;0,1%;0,0%;0,0%;0,0%;0,1%;1,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1803;5,3%;0,6%;0,1%;0,1%;0,2%;0,5%;0,2%;2,2%;1,5%;0,1%;0,0%;0,1%;0,2%;0,1%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;2,0%;0,1%;0,0%;0,0%;0,0%;0,1%;1,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1804;5,3%;0,6%;0,1%;0,1%;0,2%;0,5%;0,2%;2,2%;1,5%;0,1%;0,0%;0,1%;0,2%;0,0%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;2,0%;0,1%;0,0%;0,0%;0,0%;0,1%;1,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1805;5,3%;0,6%;0,1%;0,1%;0,2%;0,5%;0,2%;2,1%;1,5%;0,1%;0,0%;0,1%;0,2%;0,0%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;2,0%;0,1%;0,0%;0,0%;0,0%;0,1%;1,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1806;5,3%;0,5%;0,1%;0,1%;0,2%;0,5%;0,2%;2,1%;1,5%;0,1%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,9%;0,1%;0,0%;0,0%;0,0%;0,1%;1,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1807;5,3%;0,5%;0,1%;0,1%;0,2%;0,5%;0,2%;2,1%;1,6%;0,1%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,9%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1808;5,2%;0,5%;0,1%;0,1%;0,2%;0,5%;0,2%;2,1%;1,6%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,9%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1809;5,2%;0,5%;0,1%;0,1%;0,2%;0,5%;0,2%;2,0%;1,6%;0,0%;0,0%;0,1%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,8%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
