Data Figure 2.5: Data series on average education expenditures (public + private) per capital (2025 Euro PPP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx Sheet G3b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/ North Africa;Sub-Saharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;
2025;897;2 237;4 141;958;790;209;921;921;425;2 284;3 012;1 950;2 541;3 092;1 870;2 880;2 192;3 450;2 511;1 475;4 560;2 389;3 712;2 581;205;1 144;1 122;1 830;707;954;731;2 265;755;607;316;510;3 128;1 134;557;62;327;99;282;113;84;317;287;5;811;167;1 123;734;781;1 736;2 473;2 080;691;616;439;434;215;183;361;513;565;456;
2026;946;2 429;4 000;1 020;857;239;1 005;999;477;2 491;3 302;2 126;2 739;3 290;2 057;3 138;2 529;3 675;2 715;1 629;4 363;2 504;3 800;2 673;229;1 232;1 178;1 890;769;1 021;781;2 389;811;682;367;558;3 164;1 248;604;75;372;120;320;134;100;357;324;9;887;194;1 221;806;850;1 879;2 613;2 235;751;680;489;501;260;220;413;588;633;518;
2027;996;2 547;4 020;1 066;914;282;1 075;1 063;528;2 619;3 484;2 236;2 850;3 384;2 182;3 295;2 780;3 779;2 829;1 734;4 376;2 585;3 833;2 726;250;1 307;1 219;1 924;823;1 076;821;2 481;858;751;416;601;3 152;1 348;644;100;425;151;374;167;128;412;382;16;968;234;1 302;871;908;1 999;2 719;2 356;802;739;536;567;307;259;462;658;696;576;
2028;1 048;2 641;4 040;1 114;972;330;1 147;1 129;584;2 721;3 632;2 324;2 936;3 446;2 286;3 421;3 008;3 847;2 915;1 824;4 389;2 668;3 866;2 779;273;1 385;1 261;1 958;879;1 133;862;2 575;908;821;469;647;3 141;1 449;688;130;485;188;435;206;160;474;448;27;1 055;281;1 383;940;967;2 121;2 827;2 476;853;803;587;639;361;302;515;732;762;638;
2029;1 101;2 729;4 052;1 162;1 031;385;1 219;1 193;642;2 817;3 777;2 407;3 014;3 502;2 386;3 543;3 241;3 908;2 993;1 913;4 392;2 747;3 892;2 827;295;1 464;1 302;1 989;935;1 190;904;2 667;959;893;523;695;3 124;1 549;732;164;550;231;503;252;199;541;521;42;1 146;333;1 461;1 011;1 025;2 240;2 931;2 589;904;870;640;717;421;351;571;807;830;701;
2030;1 155;2 815;4 090;1 210;1 090;423;1 293;1 257;704;2 909;3 921;2 488;3 087;3 555;2 482;3 664;3 483;3 965;3 067;2 000;4 428;2 825;3 914;2 872;319;1 545;1 343;2 019;993;1 247;947;2 759;1 012;965;581;744;3 103;1 648;778;185;607;264;550;283;225;586;563;55;1 219;370;1 538;1 086;1 082;2 359;3 033;2 697;955;942;697;800;488;405;630;884;901;767;
2031;1 212;2 913;4 148;1 266;1 155;466;1 374;1 327;760;3 013;4 088;2 580;3 174;3 624;2 589;3 805;3 755;4 041;3 153;2 099;4 485;2 918;3 955;2 930;345;1 636;1 391;2 058;1 058;1 313;997;2 866;1 073;1 044;645;801;3 097;1 757;831;210;672;303;605;320;255;637;612;72;1 301;413;1 622;1 171;1 145;2 492;3 152;2 817;1 011;1 004;750;868;537;453;688;961;961;825;
2032;1 270;3 038;4 197;1 321;1 220;512;1 456;1 396;816;3 144;4 296;2 695;3 285;3 724;2 719;3 983;4 079;4 152;3 265;2 219;4 533;3 006;3 986;2 981;372;1 729;1 438;2 094;1 124;1 378;1 046;2 970;1 135;1 123;711;859;3 083;1 864;885;236;742;345;664;360;289;691;664;92;1 384;458;1 703;1 259;1 207;2 621;3 266;2 930;1 067;1 066;803;939;589;503;748;1 038;1 020;884;
2033;1 330;3 164;4 245;1 378;1 288;562;1 541;1 465;876;3 276;4 511;2 812;3 397;3 826;2 850;4 166;4 420;4 264;3 378;2 342;4 580;3 095;4 017;3 031;400;1 824;1 486;2 130;1 192;1 445;1 098;3 077;1 201;1 204;781;921;3 068;1 972;941;265;818;393;729;405;327;748;720;116;1 471;509;1 784;1 351;1 269;2 752;3 381;3 040;1 124;1 132;859;1 012;644;557;811;1 117;1 079;945;
2034;1 393;3 292;4 292;1 437;1 358;617;1 628;1 535;938;3 409;4 733;2 931;3 509;3 929;2 982;4 355;4 780;4 377;3 490;2 468;4 626;3 184;4 046;3 081;428;1 924;1 536;2 166;1 263;1 515;1 151;3 185;1 269;1 286;855;987;3 051;2 081;1 001;296;900;446;799;456;371;808;782;146;1 561;564;1 864;1 449;1 332;2 884;3 496;3 149;1 181;1 202;918;1 089;703;615;877;1 199;1 139;1 007;
2035;1 458;3 416;4 330;1 495;1 427;676;1 715;1 602;1 011;3 537;4 951;3 045;3 615;4 026;3 111;4 540;5 148;4 483;3 595;2 594;4 662;3 268;4 066;3 123;457;2 023;1 583;2 198;1 334;1 583;1 205;3 289;1 339;1 366;931;1 054;3 026;2 186;1 063;330;989;504;875;512;420;871;846;181;1 651;623;1 940;1 549;1 392;3 012;3 606;3 249;1 237;1 284;988;1 179;770;682;953;1 293;1 208;1 079;
2036;1 528;3 573;4 381;1 549;1 494;728;1 809;1 655;1 100;3 701;5 217;3 191;3 743;4 161;3 261;4 772;5 591;4 643;3 764;2 735;4 712;3 342;4 122;3 135;489;2 094;1 631;2 249;1 393;1 641;1 258;3 417;1 406;1 439;1 012;1 114;3 068;2 253;1 124;363;1 060;555;939;558;459;933;901;209;1 731;675;2 036;1 644;1 443;3 086;3 657;3 350;1 291;1 377;1 080;1 267;788;734;1 058;1 443;1 307;1 191;
2037;1 601;3 730;4 480;1 617;1 544;773;1 896;1 726;1 182;3 884;5 503;3 327;3 885;4 291;3 387;5 027;6 100;4 815;3 966;2 843;4 812;3 471;4 251;3 212;502;2 157;1 697;2 327;1 460;1 716;1 325;3 425;1 428;1 518;1 052;1 158;3 091;2 383;1 144;384;1 132;604;1 005;592;485;990;945;220;1 821;722;2 166;1 688;1 505;3 242;3 779;3 558;1 344;1 451;1 170;1 361;861;798;1 129;1 537;1 391;1 256;
2038;1 678;3 869;4 597;1 680;1 619;833;1 992;1 797;1 264;4 044;5 678;3 455;4 023;4 408;3 532;5 185;6 321;4 951;4 121;2 959;4 936;3 591;4 350;3 310;523;2 238;1 757;2 399;1 530;1 789;1 378;3 540;1 479;1 603;1 121;1 210;3 186;2 509;1 201;415;1 216;664;1 084;641;525;1 065;1 006;246;1 927;783;2 288;1 762;1 566;3 384;3 919;3 749;1 411;1 533;1 250;1 461;922;862;1 211;1 646;1 477;1 354;
2039;1 759;4 007;4 710;1 745;1 697;902;2 091;1 868;1 353;4 202;5 851;3 583;4 159;4 523;3 675;5 339;6 534;5 086;4 275;3 076;5 055;3 711;4 445;3 406;545;2 321;1 820;2 473;1 601;1 865;1 434;3 655;1 535;1 692;1 194;1 267;3 281;2 636;1 261;453;1 310;734;1 173;700;574;1 150;1 078;279;2 041;853;2 412;1 840;1 627;3 525;4 059;3 940;1 481;1 622;1 336;1 568;991;934;1 301;1 761;1 569;1 459;
2040;1 845;4 146;4 824;1 814;1 778;980;2 193;1 940;1 447;4 360;6 022;3 711;4 296;4 638;3 820;5 492;6 749;5 219;4 427;3 193;5 176;3 831;4 539;3 503;569;2 406;1 885;2 550;1 676;1 944;1 494;3 771;1 594;1 784;1 271;1 327;3 378;2 765;1 326;499;1 413;812;1 272;767;629;1 243;1 159;317;2 163;931;2 539;1 920;1 689;3 667;4 200;4 135;1 555;1 718;1 428;1 681;1 066;1 011;1 396;1 881;1 668;1 570;
2041;1 935;4 292;4 947;1 884;1 863;1 063;2 300;2 014;1 547;4 526;6 204;3 845;4 440;4 761;3 971;5 656;6 972;5 362;4 588;3 317;5 307;3 958;4 640;3 606;592;2 495;1 952;2 629;1 752;2 026;1 554;3 896;1 655;1 879;1 350;1 387;3 482;2 900;1 392;547;1 522;896;1 378;838;689;1 343;1 245;358;2 295;1 015;2 672;2 004;1 752;3 817;4 349;4 344;1 629;1 818;1 525;1 801;1 145;1 093;1 496;2 008;1 771;1 688;
2042;2 030;4 441;5 071;1 957;1 951;1 155;2 409;2 088;1 654;4 696;6 389;3 984;4 588;4 887;4 127;5 824;7 199;5 507;4 754;3 444;5 439;4 087;4 745;3 711;615;2 587;2 022;2 712;1 832;2 111;1 618;4 024;1 718;1 977;1 432;1 451;3 591;3 041;1 462;602;1 642;990;1 494;918;756;1 453;1 340;406;2 435;1 109;2 809;2 091;1 816;3 970;4 503;4 556;1 703;1 926;1 629;1 928;1 230;1 181;1 604;2 142;1 880;1 814;
2043;2 131;4 598;5 201;2 033;2 043;1 256;2 523;2 165;1 767;4 875;6 583;4 128;4 742;5 020;4 289;5 999;7 436;5 660;4 926;3 576;5 577;4 222;4 855;3 820;638;2 682;2 095;2 798;1 914;2 199;1 684;4 158;1 784;2 080;1 517;1 517;3 704;3 187;1 534;664;1 772;1 094;1 620;1 007;831;1 573;1 445;460;2 586;1 211;2 951;2 181;1 880;4 128;4 663;4 778;1 779;2 041;1 740;2 064;1 321;1 275;1 717;2 284;1 996;1 948;
2044;2 238;4 754;5 331;2 112;2 138;1 369;2 641;2 242;1 889;5 053;6 776;4 273;4 895;5 154;4 452;6 175;7 666;5 813;5 097;3 709;5 715;4 358;4 965;3 930;662;2 779;2 170;2 887;2 000;2 291;1 753;4 293;1 855;2 186;1 607;1 587;3 819;3 337;1 611;737;1 913;1 210;1 759;1 107;917;1 705;1 562;523;2 748;1 327;3 097;2 276;1 945;4 289;4 825;5 004;1 859;2 164;1 859;2 208;1 421;1 377;1 839;2 433;2 120;2 091;
2045;2 352;4 909;5 456;2 195;2 238;1 497;2 761;2 321;2 020;5 229;6 965;4 416;5 046;5 284;4 613;6 346;7 893;5 960;5 265;3 843;5 847;4 492;5 071;4 040;689;2 879;2 249;2 978;2 088;2 386;1 827;4 427;1 930;2 296;1 702;1 662;3 935;3 490;1 693;823;2 069;1 342;1 914;1 223;1 018;1 853;1 694;600;2 921;1 458;3 245;2 375;2 013;4 451;4 986;5 235;1 942;2 297;1 988;2 361;1 531;1 489;1 970;2 589;2 251;2 242;
2046;2 473;5 069;5 587;2 281;2 341;1 638;2 887;2 401;2 160;5 413;7 162;4 565;5 202;5 420;4 781;6 525;8 130;6 115;5 440;3 982;5 986;4 632;5 184;4 154;715;2 982;2 332;3 073;2 180;2 485;1 903;4 567;2 008;2 411;1 801;1 740;4 056;3 649;1 778;921;2 238;1 488;2 083;1 352;1 131;2 014;1 839;688;3 106;1 602;3 399;2 477;2 080;4 618;5 155;5 475;2 029;2 438;2 124;2 524;1 649;1 608;2 108;2 754;2 390;2 404;
2047;2 602;5 233;5 721;2 370;2 449;1 795;3 017;2 482;2 309;5 603;7 361;4 716;5 362;5 558;4 951;6 707;8 366;6 271;5 618;4 125;6 127;4 773;5 299;4 270;742;3 089;2 417;3 171;2 276;2 588;1 982;4 712;2 090;2 530;1 904;1 822;4 181;3 812;1 867;1 033;2 422;1 650;2 268;1 496;1 258;2 190;1 999;789;3 306;1 763;3 559;2 584;2 148;4 788;5 328;5 724;2 115;2 589;2 271;2 698;1 777;1 737;2 256;2 928;2 536;2 576;
2048;2 740;5 400;5 858;2 463;2 560;1 969;3 151;2 566;2 468;5 795;7 564;4 872;5 526;5 698;5 125;6 892;8 606;6 433;5 798;4 271;6 272;4 920;5 417;4 388;769;3 200;2 507;3 270;2 375;2 695;2 065;4 865;2 175;2 653;2 012;1 907;4 309;3 978;1 961;1 161;2 623;1 831;2 471;1 657;1 402;2 383;2 176;907;3 519;1 941;3 723;2 695;2 218;4 962;5 505;5 979;2 202;2 749;2 428;2 882;1 915;1 877;2 414;3 111;2 692;2 759;
2049;2 887;5 574;6 000;2 559;2 676;2 161;3 291;2 650;2 638;5 994;7 777;5 035;5 695;5 845;5 307;7 085;8 863;6 601;5 983;4 422;6 423;5 072;5 538;4 512;795;3 315;2 600;3 373;2 477;2 805;2 150;5 023;2 264;2 781;2 124;1 996;4 443;4 151;2 058;1 306;2 842;2 032;2 693;1 837;1 564;2 595;2 371;1 043;3 748;2 138;3 893;2 811;2 288;5 144;5 690;6 246;2 292;2 921;2 596;3 078;2 064;2 026;2 581;3 304;2 856;2 953;
2050;3 045;5 752;6 171;2 659;2 796;2 383;3 443;2 732;2 812;6 191;7 979;5 204;5 879;6 001;5 496;7 258;9 078;6 761;6 176;4 578;6 612;5 216;5 662;4 679;778;3 436;2 694;3 479;2 581;2 921;2 238;5 127;2 364;2 911;2 250;2 089;4 588;4 320;2 158;1 486;3 081;2 261;2 940;2 049;1 759;2 833;2 596;1 240;3 989;2 363;4 072;2 943;2 355;5 326;5 883;6 582;2 312;3 103;2 757;3 287;2 208;2 181;2 761;3 511;3 022;3 194;
2051;3 115;5 817;6 225;2 733;2 868;2 449;3 519;2 804;2 890;6 249;8 015;5 275;5 939;6 057;5 562;7 308;9 122;6 815;6 237;4 656;6 663;5 296;5 736;4 758;828;3 513;2 769;3 556;2 658;2 998;2 310;5 220;2 437;2 983;2 323;2 158;4 664;4 393;2 230;1 542;3 151;2 330;3 013;2 115;1 821;2 908;2 664;1 293;4 060;2 432;4 150;3 020;2 428;5 394;5 940;6 642;2 385;3 182;2 836;3 366;2 281;2 254;2 842;3 600;3 105;3 279;
2052;3 187;5 882;6 280;2 809;2 942;2 517;3 595;2 878;2 970;6 308;8 051;5 348;6 001;6 113;5 629;7 355;9 166;6 868;6 297;4 734;6 715;5 375;5 808;4 837;880;3 592;2 845;3 635;2 736;3 076;2 384;5 314;2 512;3 057;2 399;2 229;4 742;4 467;2 305;1 599;3 222;2 400;3 087;2 182;1 884;2 985;2 735;1 349;4 133;2 502;4 227;3 098;2 503;5 462;5 997;6 704;2 460;3 263;2 916;3 447;2 358;2 330;2 925;3 690;3 189;3 365;
2053;3 260;5 947;6 335;2 887;3 017;2 587;3 673;2 954;3 053;6 364;8 084;5 421;6 062;6 169;5 696;7 403;9 207;6 921;6 356;4 812;6 767;5 455;5 881;4 918;936;3 672;2 924;3 715;2 816;3 156;2 460;5 409;2 588;3 133;2 477;2 303;4 819;4 540;2 381;1 659;3 296;2 473;3 162;2 251;1 950;3 064;2 806;1 407;4 206;2 574;4 306;3 178;2 581;5 530;6 053;6 764;2 537;3 345;2 999;3 530;2 437;2 409;3 010;3 782;3 275;3 454;
2054;3 336;6 012;6 389;2 967;3 095;2 659;3 753;3 032;3 137;6 418;8 118;5 495;6 123;6 226;5 764;7 449;9 245;6 972;6 415;4 892;6 818;5 534;5 952;4 999;995;3 754;3 004;3 796;2 898;3 238;2 539;5 505;2 668;3 210;2 558;2 379;4 895;4 615;2 460;1 721;3 371;2 548;3 240;2 323;2 018;3 145;2 880;1 468;4 280;2 649;4 385;3 260;2 660;5 598;6 109;6 826;2 617;3 430;3 084;3 615;2 519;2 490;3 098;3 874;3 364;3 544;
2055;3 413;6 077;6 443;3 049;3 175;2 733;3 834;3 112;3 224;6 472;8 148;5 567;6 185;6 283;5 831;7 494;9 275;7 022;6 475;4 973;6 868;5 612;6 025;5 081;1 058;3 838;3 087;3 880;2 983;3 322;2 620;5 600;2 750;3 290;2 641;2 457;4 973;4 691;2 542;1 786;3 448;2 625;3 319;2 397;2 088;3 227;2 957;1 531;4 356;2 726;4 465;3 344;2 742;5 667;6 165;6 886;2 699;3 518;3 171;3 702;2 603;2 574;3 188;3 969;3 455;3 637;
2056;3 493;6 142;6 499;3 134;3 257;2 810;3 917;3 194;3 313;6 526;8 177;5 641;6 246;6 339;5 898;7 537;9 301;7 072;6 532;5 054;6 919;5 690;6 098;5 162;1 125;3 923;3 171;3 965;3 070;3 407;2 704;5 699;2 834;3 371;2 726;2 538;5 053;4 768;2 625;1 853;3 527;2 705;3 400;2 473;2 161;3 311;3 035;1 598;4 432;2 804;4 547;3 431;2 826;5 735;6 222;6 944;2 783;3 607;3 261;3 791;2 691;2 660;3 280;4 065;3 548;3 731;
2057;3 574;6 206;6 554;3 220;3 341;2 888;4 002;3 278;3 405;6 580;8 204;5 714;6 307;6 396;5 965;7 580;9 319;7 121;6 588;5 137;6 970;5 769;6 168;5 243;1 196;4 009;3 257;4 052;3 158;3 494;2 789;5 795;2 920;3 454;2 814;2 622;5 132;4 846;2 712;1 922;3 607;2 786;3 483;2 551;2 236;3 397;3 114;1 666;4 510;2 885;4 629;3 519;2 912;5 803;6 279;7 004;2 869;3 699;3 353;3 882;2 781;2 749;3 375;4 163;3 643;3 828;
2058;3 658;6 270;6 607;3 308;3 427;2 968;4 088;3 364;3 499;6 631;8 231;5 788;6 369;6 453;6 033;7 621;9 338;7 170;6 645;5 220;7 019;5 848;6 240;5 326;1 272;4 098;3 346;4 140;3 249;3 584;2 878;5 889;3 009;3 539;2 905;2 708;5 211;4 925;2 801;1 994;3 690;2 870;3 567;2 632;2 314;3 485;3 197;1 738;4 589;2 968;4 714;3 609;3 001;5 873;6 336;7 064;2 958;3 793;3 448;3 976;2 875;2 842;3 472;4 262;3 740;3 927;
2059;3 743;6 335;6 661;3 399;3 515;3 051;4 176;3 453;3 596;6 683;8 258;5 862;6 430;6 510;6 100;7 662;9 357;7 219;6 701;5 305;7 067;5 928;6 312;5 409;1 352;4 188;3 436;4 229;3 343;3 675;2 970;5 982;3 101;3 626;2 999;2 797;5 290;5 004;2 893;2 070;3 774;2 956;3 654;2 716;2 395;3 575;3 281;1 813;4 669;3 054;4 799;3 702;3 092;5 942;6 394;7 121;3 048;3 889;3 545;4 071;2 971;2 937;3 571;4 363;3 839;4 028;
2060;3 831;6 400;6 715;3 492;3 605;3 137;4 267;3 544;3 695;6 735;8 283;5 936;6 491;6 567;6 169;7 703;9 373;7 267;6 757;5 390;7 116;6 007;6 383;5 492;1 437;4 280;3 529;4 320;3 438;3 768;3 064;6 073;3 195;3 716;3 095;2 889;5 370;5 084;2 988;2 148;3 860;3 045;3 743;2 802;2 478;3 666;3 368;1 891;4 750;3 141;4 885;3 797;3 186;6 012;6 452;7 175;3 141;3 988;3 645;4 169;3 071;3 035;3 673;4 465;3 941;4 131;
2061;3 921;6 464;6 768;3 588;3 698;3 224;4 359;3 638;3 797;6 787;8 307;6 011;6 552;6 624;6 236;7 743;9 386;7 315;6 813;5 476;7 163;6 087;6 454;5 577;1 528;4 373;3 623;4 412;3 536;3 864;3 161;6 165;3 292;3 807;3 194;2 984;5 451;5 164;3 085;2 229;3 948;3 136;3 833;2 890;2 564;3 760;3 456;1 973;4 832;3 231;4 973;3 894;3 283;6 083;6 510;7 229;3 237;4 089;3 747;4 269;3 174;3 137;3 778;4 568;4 045;4 236;
2062;4 013;6 529;6 822;3 686;3 794;3 314;4 453;3 734;3 901;6 838;8 331;6 086;6 613;6 682;6 304;7 782;9 399;7 363;6 869;5 564;7 210;6 167;6 525;5 662;1 625;4 469;3 721;4 506;3 637;3 961;3 261;6 256;3 392;3 900;3 297;3 082;5 533;5 245;3 186;2 313;4 038;3 229;3 925;2 982;2 653;3 855;3 548;2 057;4 916;3 324;5 061;3 994;3 382;6 153;6 568;7 280;3 334;4 193;3 852;4 371;3 280;3 241;3 885;4 673;4 152;4 344;
2063;4 107;6 594;6 875;3 786;3 891;3 407;4 549;3 833;4 008;6 890;8 354;6 162;6 674;6 739;6 372;7 820;9 410;7 409;6 925;5 652;7 256;6 246;6 596;5 748;1 727;4 566;3 821;4 600;3 740;4 061;3 364;6 346;3 495;3 995;3 402;3 183;5 615;5 327;3 290;2 400;4 130;3 325;4 019;3 076;2 746;3 952;3 641;2 146;5 000;3 419;5 152;4 096;3 485;6 224;6 627;7 331;3 435;4 299;3 960;4 475;3 391;3 349;3 995;4 780;4 261;4 454;
2064;4 204;6 659;6 929;3 889;3 991;3 502;4 646;3 934;4 117;6 941;8 375;6 238;6 734;6 796;6 440;7 859;9 416;7 456;6 980;5 742;7 303;6 326;6 667;5 835;1 836;4 665;3 923;4 697;3 845;4 163;3 470;6 435;3 601;4 093;3 510;3 287;5 697;5 410;3 396;2 491;4 224;3 424;4 115;3 173;2 841;4 052;3 736;2 238;5 085;3 516;5 243;4 200;3 590;6 294;6 686;7 382;3 540;4 407;4 071;4 582;3 504;3 461;4 107;4 888;4 372;4 565;
2065;4 304;6 724;6 982;3 995;4 094;3 599;4 746;4 037;4 230;6 990;8 397;6 315;6 795;6 854;6 509;7 897;9 422;7 503;7 035;5 832;7 348;6 406;6 738;5 922;1 953;4 766;4 028;4 795;3 954;4 268;3 579;6 523;3 709;4 193;3 622;3 395;5 780;5 493;3 507;2 585;4 320;3 525;4 214;3 272;2 940;4 153;3 834;2 334;5 172;3 616;5 334;4 307;3 698;6 364;6 745;7 430;3 646;4 519;4 184;4 691;3 621;3 576;4 222;4 998;4 486;4 680;
2066;4 405;6 789;7 035;4 103;4 199;3 700;4 848;4 144;4 345;7 040;8 418;6 392;6 857;6 912;6 578;7 935;9 425;7 550;7 090;5 923;7 392;6 486;6 809;6 009;2 076;4 868;4 135;4 895;4 065;4 374;3 692;6 610;3 822;4 295;3 737;3 506;5 864;5 578;3 621;2 683;4 417;3 630;4 314;3 375;3 041;4 256;3 935;2 434;5 260;3 719;5 427;4 417;3 810;6 435;6 803;7 476;3 757;4 633;4 300;4 802;3 742;3 694;4 341;5 109;4 603;4 797;
2067;4 510;6 854;7 088;4 214;4 308;3 803;4 952;4 253;4 464;7 089;8 439;6 470;6 918;6 971;6 648;7 973;9 428;7 596;7 146;6 016;7 436;6 567;6 880;6 096;2 208;4 973;4 246;4 996;4 178;4 483;3 808;6 697;3 937;4 399;3 856;3 621;5 948;5 663;3 738;2 784;4 517;3 736;4 416;3 481;3 147;4 361;4 037;2 539;5 349;3 825;5 521;4 529;3 925;6 506;6 861;7 523;3 870;4 749;4 419;4 916;3 867;3 816;4 462;5 223;4 723;4 916;
2068;4 617;6 920;7 141;4 328;4 419;3 908;5 057;4 366;4 585;7 138;8 459;6 548;6 979;7 030;6 717;8 010;9 429;7 643;7 202;6 110;7 480;6 649;6 952;6 185;2 348;5 079;4 358;5 100;4 295;4 595;3 928;6 785;4 056;4 506;3 978;3 740;6 033;5 749;3 859;2 890;4 619;3 846;4 521;3 591;3 256;4 469;4 143;2 647;5 439;3 933;5 616;4 644;4 043;6 577;6 919;7 569;3 987;4 869;4 541;5 033;3 996;3 942;4 586;5 338;4 846;5 038;
2069;4 726;6 986;7 195;4 445;4 532;4 017;5 165;4 481;4 709;7 187;8 478;6 627;7 041;7 089;6 788;8 047;9 431;7 689;7 258;6 205;7 523;6 730;7 024;6 273;2 497;5 187;4 474;5 205;4 414;4 709;4 051;6 871;4 178;4 615;4 104;3 862;6 119;5 836;3 983;2 999;4 722;3 959;4 627;3 703;3 368;4 578;4 251;2 760;5 531;4 044;5 713;4 762;4 164;6 649;6 976;7 613;4 107;4 991;4 666;5 152;4 130;4 072;4 713;5 455;4 972;5 162;
2070;4 838;7 052;7 249;4 565;4 649;4 129;5 275;4 599;4 837;7 236;8 496;6 706;7 103;7 149;6 858;8 084;9 431;7 736;7 314;6 301;7 567;6 811;7 096;6 363;2 656;5 297;4 592;5 312;4 537;4 825;4 178;6 959;4 304;4 726;4 233;3 988;6 205;5 925;4 112;3 112;4 828;4 075;4 736;3 819;3 485;4 689;4 361;2 878;5 623;4 158;5 810;4 882;4 289;6 722;7 034;7 659;4 230;5 116;4 794;5 274;4 267;4 206;4 843;5 574;5 100;5 289;
2071;4 954;7 118;7 302;4 688;4 769;4 243;5 387;4 721;4 968;7 285;8 514;6 785;7 164;7 208;6 929;8 121;9 430;7 782;7 370;6 398;7 609;6 892;7 167;6 454;2 825;5 409;4 714;5 420;4 662;4 944;4 309;7 045;4 435;4 840;4 367;4 119;6 292;6 014;4 245;3 230;4 936;4 194;4 847;3 938;3 605;4 803;4 475;3 000;5 717;4 275;5 908;5 006;4 417;6 794;7 092;7 701;4 358;5 244;4 926;5 398;4 410;4 344;4 976;5 694;5 232;5 419;
2072;5 072;7 185;7 355;4 815;4 893;4 361;5 502;4 846;5 102;7 334;8 533;6 865;7 225;7 268;7 000;8 158;9 429;7 828;7 427;6 497;7 649;6 974;7 239;6 545;3 006;5 523;4 838;5 531;4 790;5 066;4 445;7 132;4 569;4 956;4 505;4 254;6 380;6 104;4 381;3 352;5 046;4 316;4 960;4 061;3 730;4 919;4 591;3 128;5 813;4 395;6 008;5 132;4 550;6 868;7 150;7 742;4 490;5 375;5 061;5 525;4 557;4 487;5 113;5 817;5 367;5 551;
2073;5 193;7 251;7 407;4 945;5 019;4 482;5 619;4 974;5 240;7 383;8 551;6 946;7 287;7 328;7 072;8 195;9 427;7 875;7 484;6 597;7 688;7 056;7 312;6 637;3 198;5 639;4 965;5 644;4 922;5 190;4 584;7 219;4 707;5 075;4 647;4 393;6 469;6 196;4 523;3 478;5 159;4 441;5 076;4 187;3 858;5 037;4 710;3 261;5 909;4 518;6 108;5 262;4 686;6 942;7 208;7 782;4 625;5 509;5 199;5 655;4 708;4 633;5 253;5 942;5 506;5 686;
2074;5 317;7 318;7 461;5 077;5 149;4 606;5 738;5 106;5 381;7 432;8 569;7 027;7 349;7 389;7 144;8 232;9 424;7 921;7 541;6 698;7 728;7 138;7 384;6 729;3 402;5 757;5 095;5 758;5 057;5 318;4 727;7 306;4 849;5 196;4 793;4 536;6 557;6 288;4 668;3 610;5 273;4 570;5 194;4 318;3 991;5 157;4 832;3 400;6 007;4 644;6 210;5 395;4 826;7 016;7 266;7 824;4 764;5 647;5 340;5 788;4 864;4 785;5 396;6 069;5 648;5 824;
2075;5 444;7 386;7 515;5 214;5 282;4 734;5 860;5 241;5 525;7 481;8 586;7 109;7 410;7 450;7 216;8 269;9 419;7 968;7 599;6 801;7 768;7 221;7 457;6 822;3 620;5 877;5 229;5 875;5 195;5 448;4 875;7 394;4 995;5 320;4 943;4 685;6 647;6 382;4 818;3 746;5 390;4 702;5 315;4 452;4 128;5 280;4 956;3 544;6 107;4 774;6 313;5 530;4 969;7 091;7 325;7 864;4 907;5 787;5 485;5 923;5 025;4 940;5 543;6 198;5 793;5 965;
2076;5 574;7 453;7 569;5 354;5 419;4 865;5 983;5 380;5 673;7 530;8 603;7 191;7 472;7 511;7 288;8 305;9 415;8 014;7 656;6 904;7 807;7 303;7 530;6 916;3 853;5 999;5 366;5 993;5 336;5 581;5 027;7 481;5 146;5 447;5 098;4 838;6 737;6 477;4 973;3 888;5 510;4 838;5 438;4 590;4 271;5 405;5 084;3 694;6 208;4 907;6 417;5 669;5 117;7 166;7 384;7 905;5 055;5 931;5 634;6 062;5 191;5 101;5 694;6 329;5 942;6 108;
2077;5 708;7 521;7 623;5 497;5 559;5 000;6 110;5 523;5 825;7 579;8 620;7 273;7 534;7 573;7 361;8 342;9 410;8 061;7 714;7 010;7 845;7 386;7 602;7 010;4 100;6 123;5 506;6 114;5 481;5 718;5 184;7 569;5 302;5 576;5 258;4 996;6 828;6 572;5 133;4 035;5 631;4 977;5 563;4 733;4 417;5 533;5 215;3 850;6 310;5 044;6 522;5 811;5 270;7 242;7 443;7 946;5 207;6 078;5 786;6 203;5 362;5 266;5 848;6 462;6 095;6 255;
