Data Figure 2.5: Data series on average education expenditures (public + private) per capital (2025 Euro PPP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx Sheet G3b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/ North Africa;Sub-Saharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;
1986;439;1 068;2 323;387;361;120;821;238;73;1 126;1 809;734;1 368;1 140;1 463;1 846;1 427;2 006;1 266;538;2 434;2 057;2 019;974;358;600;378;291;237;460;342;932;474;269;185;157;3 088;189;388;22;265;18;251;27;52;111;77;15;504;90;946;670;69;1 664;448;277;276;31;41;114;29;126;80;177;52;246;
1987;443;1 098;2 367;382;366;120;790;243;75;1 136;1 766;824;1 375;1 194;1 501;1 989;1 564;2 032;1 291;545;2 473;2 211;1 959;1 108;344;647;383;340;232;442;316;899;425;270;190;148;2 900;212;382;26;257;19;267;32;48;109;71;16;506;86;908;648;67;1 742;469;304;289;36;42;121;27;143;85;171;51;230;
1988;452;1 126;2 421;352;410;122;849;253;73;1 155;1 893;915;1 399;1 231;1 549;1 888;1 589;2 045;1 331;553;2 537;2 229;1 964;1 260;348;555;373;298;216;406;281;1 104;454;275;175;145;4 017;223;408;23;251;18;287;37;47;114;65;13;509;86;980;690;65;1 856;503;356;299;35;42;132;22;115;95;172;52;219;
1989;456;1 167;2 478;334;392;116;847;261;77;1 235;1 962;1 057;1 417;1 209;1 604;1 917;1 754;2 095;1 375;567;2 606;2 235;1 955;1 378;343;467;390;314;233;322;277;1 090;433;289;183;154;3 294;229;394;23;267;17;259;37;43;115;72;13;471;82;970;701;64;1 915;560;507;307;36;43;143;29;115;106;172;53;227;
1990;462;1 207;2 504;330;387;125;835;269;82;1 338;2 241;1 097;1 472;1 187;1 636;1 955;1 757;1 978;1 456;578;2 646;2 188;1 906;1 430;347;455;375;314;233;349;265;1 137;399;284;178;149;3 145;254;381;22;250;19;276;34;40;155;69;14;487;82;986;658;63;1 989;685;569;301;36;43;169;31;127;111;195;55;231;
1991;459;1 250;2 478;348;371;126;727;275;83;1 468;2 257;1 129;1 586;1 196;1 674;2 000;1 853;1 951;1 551;540;2 580;2 480;1 950;1 445;352;500;382;366;234;392;275;1 075;369;279;189;149;3 043;260;327;20;246;17;280;40;43;150;64;14;520;80;840;597;65;1 973;800;755;316;36;45;156;31;133;93;228;50;239;
1992;458;1 279;2 540;371;365;126;548;274;88;1 545;2 384;1 192;1 556;1 271;1 706;1 987;2 066;1 883;1 624;517;2 661;2 444;1 937;1 486;349;580;373;414;355;449;275;1 075;354;269;184;149;2 678;278;354;19;240;17;254;41;42;158;67;14;532;80;589;502;68;1 909;871;894;326;47;46;169;26;136;98;261;58;257;
1993;470;1 330;2 641;400;415;122;548;271;90;1 578;2 319;1 279;1 751;1 409;1 661;1 906;2 532;1 891;1 655;515;2 717;2 827;2 302;1 603;358;709;396;461;314;525;270;1 260;357;282;233;155;3 211;305;401;16;219;18;243;41;37;150;58;15;547;75;652;435;69;1 860;907;967;322;54;47;166;22;127;92;306;69;255;
1994;478;1 369;2 668;432;429;119;514;282;94;1 573;2 304;1 367;1 859;1 556;1 583;1 880;2 738;2 020;1 681;540;2 786;2 485;2 292;1 714;363;762;421;499;295;603;284;1 449;347;318;226;167;3 435;291;413;16;162;19;240;41;41;147;36;10;546;75;669;342;73;1 896;1 024;1 069;330;63;48;176;20;141;95;329;73;251;
1995;485;1 398;2 715;444;424;120;485;291;105;1 635;2 356;1 285;1 940;1 582;1 568;1 950;2 786;2 158;1 720;557;2 859;2 336;2 306;1 670;374;776;445;573;307;594;286;1 504;345;331;220;153;2 961;332;413;18;155;21;242;40;43;146;55;8;546;77;650;304;80;1 926;1 103;1 001;321;74;50;207;19;158;128;360;100;263;
1996;494;1 418;2 739;459;421;117;471;306;116;1 670;2 406;1 283;1 942;1 556;1 627;1 968;2 544;2 172;1 773;577;2 894;2 229;2 369;1 912;380;777;456;685;341;605;296;1 434;337;346;194;164;2 587;380;432;19;98;23;238;45;40;150;56;10;518;79;643;280;90;1 959;1 220;1 005;324;95;54;238;20;159;142;418;106;287;
1997;504;1 441;2 793;488;431;117;540;299;128;1 691;2 510;1 275;1 942;1 610;1 660;1 978;2 822;2 248;1 816;575;2 958;2 242;2 415;1 894;363;883;475;763;341;625;331;1 511;335;369;216;157;2 224;425;453;18;95;22;228;43;42;151;57;9;519;82;769;285;85;1 916;1 245;1 021;341;113;58;273;21;171;176;451;118;287;
1998;509;1 478;2 894;501;540;114;425;292;121;1 704;2 717;1 306;1 986;1 646;1 688;2 013;3 230;2 426;1 858;598;3 080;2 193;2 499;2 000;360;910;474;878;368;639;343;1 763;375;388;253;165;4 169;409;512;19;90;24;225;47;49;148;62;9;463;84;562;270;90;1 884;936;1 103;351;132;59;231;21;158;164;352;112;280;
